date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:04:41	7635/7635	---MCZ	200	added ('OK')	text/html	date:Wed,%2010%20May%202023%2012:39:43%20GMT	https://askbootstrap.com/preview/eatsome/notifications.html	C:/Users/PC/OneDrive/Documents/template/httrack/order-food-1/askbootstrap.com/preview/eatsome/notifications.html	(from https://askbootstrap.com/preview/eatsome/)
10:04:41	14111/14111	---MCZ	200	added ('OK')	text/html	date:Wed,%2010%20May%202023%2012:39:43%20GMT	https://askbootstrap.com/preview/eatsome/search-list.html	C:/Users/PC/OneDrive/Documents/template/httrack/order-food-1/askbootstrap.com/preview/eatsome/search-list.html	(from https://askbootstrap.com/preview/eatsome/)
10:04:42	112746/112746	---M--	200	added ('OK')	image/png	etag:%221b86a-645b9093-f3695e905b685c65;;;%22	https://askbootstrap.com/preview/eatsome/img/logo8.png	C:/Users/PC/OneDrive/Documents/template/httrack/order-food-1/askbootstrap.com/preview/eatsome/img/logo8.png	(from https://askbootstrap.com/preview/eatsome/)
10:04:43	61465/61465	---M--	200	added ('OK')	image/png	etag:%22f019-645b9094-babab3e05f690820;;;%22	https://askbootstrap.com/preview/eatsome/img/logo1.png	C:/Users/PC/OneDrive/Documents/template/httrack/order-food-1/askbootstrap.com/preview/eatsome/img/logo1.png	(from https://askbootstrap.com/preview/eatsome/)
10:04:43	22580/22580	---MCZ	200	added ('OK')	text/html	date:Wed,%2010%20May%202023%2012:39:42%20GMT	https://askbootstrap.com/preview/eatsome/store.html	C:/Users/PC/OneDrive/Documents/template/httrack/order-food-1/askbootstrap.com/preview/eatsome/store.html	(from https://askbootstrap.com/preview/eatsome/)
10:04:44	36689/36689	---M--	200	added ('OK')	image/png	etag:%228f51-645b9094-c029c280e28a8f50;;;%22	https://askbootstrap.com/preview/eatsome/img/logo3.png	C:/Users/PC/OneDrive/Documents/template/httrack/order-food-1/askbootstrap.com/preview/eatsome/img/logo3.png	(from https://askbootstrap.com/preview/eatsome/)
10:04:44	93511/93511	---M--	200	added ('OK')	image/png	etag:%2216d47-645b9096-6253b9bdbdf40633;;;%22	https://askbootstrap.com/preview/eatsome/img/logo5.png	C:/Users/PC/OneDrive/Documents/template/httrack/order-food-1/askbootstrap.com/preview/eatsome/img/logo5.png	(from https://askbootstrap.com/preview/eatsome/)
10:04:44	39658/39658	---M--	200	added ('OK')	image/png	etag:%229aea-645b9096-6d7be2cf83e3ccd0;;;%22	https://askbootstrap.com/preview/eatsome/img/logo4.png	C:/Users/PC/OneDrive/Documents/template/httrack/order-food-1/askbootstrap.com/preview/eatsome/img/logo4.png	(from https://askbootstrap.com/preview/eatsome/)
10:04:45	52571/52571	---M--	200	added ('OK')	image/png	etag:%22cd5b-645b9095-38f4830fb00012e;;;%22	https://askbootstrap.com/preview/eatsome/img/logo7.png	C:/Users/PC/OneDrive/Documents/template/httrack/order-food-1/askbootstrap.com/preview/eatsome/img/logo7.png	(from https://askbootstrap.com/preview/eatsome/)
10:04:45	48276/48276	---M--	200	added ('OK')	image/png	etag:%22bc94-645b9095-ff21ed8a560a9b57;;;%22	https://askbootstrap.com/preview/eatsome/img/logo2.png	C:/Users/PC/OneDrive/Documents/template/httrack/order-food-1/askbootstrap.com/preview/eatsome/img/logo2.png	(from https://askbootstrap.com/preview/eatsome/)
10:04:45	89047/89047	---M--	200	added ('OK')	image/png	etag:%2215bd7-645b9095-e0a0082518a0a55a;;;%22	https://askbootstrap.com/preview/eatsome/img/logo6.png	C:/Users/PC/OneDrive/Documents/template/httrack/order-food-1/askbootstrap.com/preview/eatsome/img/logo6.png	(from https://askbootstrap.com/preview/eatsome/)
10:04:46	34072/34072	---M--	200	added ('OK')	image/png	etag:%228518-645b9093-bc1c139c4430e472;;;%22	https://askbootstrap.com/preview/eatsome/img/d9.png	C:/Users/PC/OneDrive/Documents/template/httrack/order-food-1/askbootstrap.com/preview/eatsome/img/d9.png	(from https://askbootstrap.com/preview/eatsome/)
10:04:46	30845/30845	---M--	200	added ('OK')	image/png	etag:%22787d-645b9096-bbc0a2c4f3800321;;;%22	https://askbootstrap.com/preview/eatsome/img/d3.png	C:/Users/PC/OneDrive/Documents/template/httrack/order-food-1/askbootstrap.com/preview/eatsome/img/d3.png	(from https://askbootstrap.com/preview/eatsome/)
10:04:46	25125/25125	---M--	200	added ('OK')	image/png	etag:%226225-645b9095-3e0621ace0e71fcf;;;%22	https://askbootstrap.com/preview/eatsome/img/d4.png	C:/Users/PC/OneDrive/Documents/template/httrack/order-food-1/askbootstrap.com/preview/eatsome/img/d4.png	(from https://askbootstrap.com/preview/eatsome/)
10:04:47	32419/32419	---M--	200	added ('OK')	image/png	etag:%227ea3-645b9094-e08df2372837409b;;;%22	https://askbootstrap.com/preview/eatsome/img/d5.png	C:/Users/PC/OneDrive/Documents/template/httrack/order-food-1/askbootstrap.com/preview/eatsome/img/d5.png	(from https://askbootstrap.com/preview/eatsome/)
10:04:47	26100/26100	---M--	200	added ('OK')	image/png	etag:%2265f4-645b9096-eeab145186332e71;;;%22	https://askbootstrap.com/preview/eatsome/img/d2.png	C:/Users/PC/OneDrive/Documents/template/httrack/order-food-1/askbootstrap.com/preview/eatsome/img/d2.png	(from https://askbootstrap.com/preview/eatsome/)
10:04:47	30644/30644	---M--	200	added ('OK')	image/png	etag:%2277b4-645b9095-4405689204cd9349;;;%22	https://askbootstrap.com/preview/eatsome/img/d1.png	C:/Users/PC/OneDrive/Documents/template/httrack/order-food-1/askbootstrap.com/preview/eatsome/img/d1.png	(from https://askbootstrap.com/preview/eatsome/)
10:04:47	34024/34024	---M--	200	added ('OK')	image/png	etag:%2284e8-645b9094-cab7add372d968f5;;;%22	https://askbootstrap.com/preview/eatsome/img/d8.png	C:/Users/PC/OneDrive/Documents/template/httrack/order-food-1/askbootstrap.com/preview/eatsome/img/d8.png	(from https://askbootstrap.com/preview/eatsome/)
10:04:48	26699/26699	---M--	200	added ('OK')	image/png	etag:%22684b-645b9094-176fb2b547c2a340;;;%22	https://askbootstrap.com/preview/eatsome/img/d7.png	C:/Users/PC/OneDrive/Documents/template/httrack/order-food-1/askbootstrap.com/preview/eatsome/img/d7.png	(from https://askbootstrap.com/preview/eatsome/)
10:04:48	30906/30906	---M--	200	added ('OK')	image/png	etag:%2278ba-645b9094-3bece7b6d5e58859;;;%22	https://askbootstrap.com/preview/eatsome/img/d6.png	C:/Users/PC/OneDrive/Documents/template/httrack/order-food-1/askbootstrap.com/preview/eatsome/img/d6.png	(from https://askbootstrap.com/preview/eatsome/)
10:04:48	118541/118541	---M--	200	added ('OK')	image/png	etag:%221cf0d-645b9092-cf4a18f6d9c947ef;;;%22	https://askbootstrap.com/preview/eatsome/img/delivery.png	C:/Users/PC/OneDrive/Documents/template/httrack/order-food-1/askbootstrap.com/preview/eatsome/img/delivery.png	(from https://askbootstrap.com/preview/eatsome/)
10:04:48	589452/589452	---M--	200	added ('OK')	image/jpeg	etag:%228fe8c-645b9092-eef78007d9bdf3ad;;;%22	https://askbootstrap.com/preview/eatsome/img/1.jpeg	C:/Users/PC/OneDrive/Documents/template/httrack/order-food-1/askbootstrap.com/preview/eatsome/img/1.jpg	(from https://askbootstrap.com/preview/eatsome/)
10:04:48	512/512	---M--	200	added ('OK')	image/png	etag:%22200-645b9096-b0fb1017a2aa26e7;;;%22	https://askbootstrap.com/preview/eatsome/img/graph-up.png	C:/Users/PC/OneDrive/Documents/template/httrack/order-food-1/askbootstrap.com/preview/eatsome/img/graph-up.png	(from https://askbootstrap.com/preview/eatsome/)
10:04:49	305793/305793	---M--	200	added ('OK')	image/jpeg	etag:%224aa81-645b9096-318eca75a36651f6;;;%22	https://askbootstrap.com/preview/eatsome/img/2.jpeg	C:/Users/PC/OneDrive/Documents/template/httrack/order-food-1/askbootstrap.com/preview/eatsome/img/2.jpg	(from https://askbootstrap.com/preview/eatsome/)
